SBA Physical Declaration Number,SBA EIDL Declaration ,FEMA Disaster Number,SBA Disaster ,Damaged Property City ,Damaged Property Zip,Damaged Property State Code,Total Verified ,Verified Loss Real Estate,Verified Loss Content,Total Approved ,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
14495,14496,4241,SC-00031,ELLOREE,29047,SC,27579,19029,8550,25000,17000,8000,0
14495,14496,4241,SC-00031,EUTAWVILLE,29048,SC,103115,90079,13036,25600,19600,1200,4800
14495,14496,4241,SC-00031,FLORENCE,29501,SC,74256,73932,324,8200,8200,0,0
14495,14496,4241,SC-00031,FLORENCE,29501,SC,660153,636793,23360,319900,295600,7200,17100
14495,14496,4241,SC-00031,FLORENCE,29505,SC,745414,501791,243623,322900,147500,175300,100
14495,14496,4241,SC-00031,FLORENCE,29506,SC,562591,541454,21137,227100,220200,2900,4000
14495,14496,4241,SC-00031,Florence,29505,SC,279318,279318,0,0,0,0,0
14495,14496,4241,SC-00031,FOLLY BEACH,29439,SC,390148,385223,4925,30400,16200,3800,10400
14495,14496,4241,SC-00031,GABLE,29051,SC,875907,654523,221384,0,0,0,0
14495,14496,4241,SC-00031,GADSDEN,29052,SC,380647,369507,11140,336900,328000,7600,1300
14495,14496,4241,SC-00031,Gadsden,29052,SC,66138,66138,0,50700,50700,0,0
14495,14496,4241,SC-00031,GADSEN,29052,SC,244593,237693,6900,0,0,0,0
14495,14496,4241,SC-00031,GALIVANTS FERRY,29544,SC,113096,49956,63140,278100,50000,63100,165000
14495,14496,4241,SC-00031,GEORGETOWN,29440,SC,1838272,1383193,455079,438500,270600,80700,87200
14495,14496,4241,SC-00031,GEORGETOWN,29442,SC,117987,85867,32120,0,0,0,0
14495,14496,4241,SC-00031,Georgetown,29440,SC,318572,272612,45960,0,0,0,0
14495,14496,4241,SC-00031,GEORGETOWN,29440,SC,30430,2065,28365,0,0,0,0
14495,14496,4241,SC-00031,GILBERT,29054,SC,41543,34143,7400,40000,24200,7400,0
14495,14496,4241,SC-00031,GOOSE CREEK,29445,SC,1301002,1276452,24550,627200,608600,13000,5600
14495,14496,4241,SC-00031,GOOSE CREEK,29445,SC,8208,8208,0,0,0,0,0
14495,14496,4241,SC-00031,GREELEYVILLE,29056,SC,564426,497268,67158,430200,415500,4800,9900
14495,14496,4241,SC-00031,Greeleyville,29056,SC,95391,33823,61568,0,0,0,0
14495,14496,4241,SC-00031,GREEN SEA,29545,SC,45558,45558,0,0,0,0,0
14495,14496,4241,SC-00031,GREENVILLE,29607,SC,9206,9206,0,0,0,0,0
14495,14496,4241,SC-00031,GREENVILLE,29609,SC,42414,42414,0,0,0,0,0
14495,14496,4241,SC-00031,GREENVILLE,29611,SC,54187,44247,9940,0,0,0,0
14495,14496,4241,SC-00031,GREENWOOD,29646,SC,41669,41669,0,0,0,0,0
14495,14496,4241,SC-00031,GREENWOOD,29649,SC,59736,58336,1400,58400,58400,0,0
14495,14496,4241,SC-00031,GREER,29650,SC,0,0,0,7600,0,0,7600
14495,14496,4241,SC-00031,HARLEYVILLE,29448,SC,46541,27041,19500,0,0,0,0
14495,14496,4241,SC-00031,HARTSVILLE,29550,SC,28518,20658,7860,53500,0,2500,51000
